pc_reads_total	n_reads_clade	n_reads_direct	n_minimizers_total	n_minimizers_distinct	rank	taxid	name	sample
0	373	373	928	812	S	1294143	Pseudomonas sp. ATCC 13867	AP-DNA-1
0	368	368	1143	1082	S	253237	Pseudomonas sp. phDV1	AP-DNA-1
0	365	365	805	545	S	2745519	Pseudomonas sp. OE 28.3	AP-DNA-1
0	365	365	976	585	S	2498848	Pseudomonas sp. MPC6	AP-DNA-1
0	363	363	657	258	S	2774459	Pseudomonas sp. IzPS59	AP-DNA-1
0	349	349	889	673	S	2697023	Pseudomonas sp. AN-B15	AP-DNA-1
0	342	342	753	305	S	1855380	Pseudomonas sp. Z003-0.4C(8344-21)	AP-DNA-1
0	339	339	979	783	S	2025658	Pseudomonas sp. NS1(2017)	AP-DNA-1
0	333	333	1589	1465	S	2731552	Pseudomonas sp. Sm006	AP-DNA-1
0	316	316	738	430	S	2678260	Pseudomonas sp. Ost2	AP-DNA-1
0	316	316	868	769	S	2653853	Pseudomonas sp. SCB32	AP-DNA-1
0	311	311	615	258	S	2895493	Pseudomonas sp. B21-053	AP-DNA-1
0	310	310	638	278	S	2052956	Pseudomonas sp. ACM7	AP-DNA-1
0	303	303	825	545	S	1028989	Pseudomonas sp. StFLB209	AP-DNA-1
0	292	292	633	322	S	2972478	Pseudomonas sp. LS1212	AP-DNA-1
0	291	291	699	439	S	2049589	Pseudomonas sp. HLS-6	AP-DNA-1
0	290	290	594	235	S	2871493	Pseudomonas sp. SC3(2021)	AP-DNA-1
0	283	283	691	432	S	2054919	Pseudomonas sp. S09G 359	AP-DNA-1
0	279	279	622	328	S	2730847	Pseudomonas sp. ADAK13	AP-DNA-1
0	276	276	543	254	S	2871095	Pseudomonas sp. DR48	AP-DNA-1
0	270	270	610	268	S	2730848	Pseudomonas sp. ADAK18	AP-DNA-1
0	266	266	612	368	S	1573719	Pseudomonas sp. S35	AP-DNA-1
0	264	264	885	708	S	2219057	Pseudomonas sp. LG1E9	AP-DNA-1
0	257	257	540	233	S	2895473	Pseudomonas sp. B21-015	AP-DNA-1
0	248	248	497	216	S	2895490	Pseudomonas sp. B21-048	AP-DNA-1
0	234	234	533	271	S	2895476	Pseudomonas sp. B21-021	AP-DNA-1
0	229	229	835	612	S	2870750	Pseudomonas sp. CYM-20-01	AP-DNA-1
0	227	227	567	417	S	2986927	Pseudomonas sp. BT-42-2	AP-DNA-1
0	226	226	868	598	S	2898483	Pseudomonas sp. 7-41	AP-DNA-1
0	224	224	620	574	S	2879114	Pseudomonas sp. HS-18	AP-DNA-1
0	224	224	950	639	S	1886807	Pseudomonas sp. TMW 2.1634	AP-DNA-1
0	209	209	454	285	S	1344094	Pseudomonas sp. HN11	AP-DNA-1
0	207	207	402	167	S	2895487	Pseudomonas sp. B21-041	AP-DNA-1
0	202	202	437	231	S	118613	Pseudomonas sp. B10	AP-DNA-1
0	201	201	1040	1008	S	2706126	Pseudomonas sp. OIL-1	AP-DNA-1
0	199	199	517	331	S	2883205	Pseudomonas sp. L5B5	AP-DNA-1
0	198	198	492	395	S	2590776	Pseudomonas sp. NIBRBAC000502773	AP-DNA-1
0	197	197	514	336	S	2662033	Pseudomonas sp. NY5710	AP-DNA-1
0	188	188	396	242	S	1881017	Pseudomonas sp. 7SR1	AP-DNA-1
0	185	185	516	427	S	2866808	Pseudomonas sp. MM211	AP-DNA-1
0	184	184	1122	929	S	1758730	Pseudomonas sp. BIOMIG1BAC	AP-DNA-1
0	181	181	935	661	S	2961531	Pseudomonas sp. KHPS1	AP-DNA-1
0	174	174	429	147	S	1206777	Pseudomonas sp. Lz4W	AP-DNA-1
0	159	159	393	253	S	2971912	Pseudomonas sp. CBS	AP-DNA-1
0	158	158	390	325	S	2944234	Pseudomonas sp. LRP2-20	AP-DNA-1
0	156	156	353	239	S	658644	Pseudomonas sp. R5-89-07	AP-DNA-1
0	156	156	319	161	S	1534110	Pseudomonas sp. DR 5-09	AP-DNA-1
0	155	155	450	320	S	1736226	Pseudomonas sp. Leaf58	AP-DNA-1
0	155	155	375	211	S	1981174	Pseudomonas sp. M30-35	AP-DNA-1
0	152	152	340	187	S	2895495	Pseudomonas sp. B21-056	AP-DNA-1
0	149	149	845	677	S	2651048	Pseudomonas sp. CFA	AP-DNA-1
0	145	145	392	306	S	2893890	Pseudomonas sp. KNUC1026	AP-DNA-1
0	138	138	310	228	S	2874628	Pseudomonas sp. p1(2021b)	AP-DNA-1
0	133	133	381	276	S	1357074	Pseudomonas sp. LS44	AP-DNA-1
0	130	130	326	245	S	1930532	Pseudomonas sp. CC6-YY-74	AP-DNA-1
0	127	127	371	231	S	1573711	Pseudomonas sp. R76	AP-DNA-1
0	126	126	319	254	S	2735906	Pseudomonas sp. B11D7D	AP-DNA-1
0	121	121	258	111	S	2895475	Pseudomonas sp. B21-019	AP-DNA-1
0	121	121	648	578	S	2726989	Pseudomonas sp. gcc21	AP-DNA-1
0	118	118	282	135	S	2823875	Pseudomonas sp. Tri1	AP-DNA-1
0	117	117	294	186	S	2866592	Pseudomonas sp. Marseille-Q3773	AP-DNA-1
0	116	116	292	154	S	2867408	Pseudomonas sp. 3-2	AP-DNA-1
0	114	114	364	310	S	2898441	Pseudomonas sp. J452	AP-DNA-1
0	113	113	248	149	S	2895494	Pseudomonas sp. B21-054	AP-DNA-1
0	113	113	326	261	S	1755504	Pseudomonas sp. DY-1	AP-DNA-1
0	111	111	239	173	S	1611770	Pseudomonas sp. MRSN 12121	AP-DNA-1
0	109	109	262	215	S	2962597	Pseudomonas sp. Z8(2022)	AP-DNA-1
0	108	108	250	130	S	2678257	Pseudomonas sp. St316	AP-DNA-1
0	104	104	258	224	S	2866278	Pseudomonas sp. S07E 245	AP-DNA-1
0	100	100	224	124	S	2895480	Pseudomonas sp. B21-028	AP-DNA-1
0	100	100	284	247	S	2597770	Pseudomonas sp. BJP69	AP-DNA-1
0	96	96	299	248	S	1856685	Pseudomonas sp. TCU-HL1	AP-DNA-1
0	94	94	302	238	S	2748080	Pseudomonas sp. ABC1	AP-DNA-1
0	93	93	255	169	S	2169583	Pseudomonas sp. SXM-1	AP-DNA-1
0	92	92	164	91	S	2884805	Pseudomonas sp. HN2	AP-DNA-1
0	92	92	231	196	S	2587597	Pseudomonas sp. SWI7	AP-DNA-1
0	92	92	191	98	S	2730851	Pseudomonas sp. ADAK22	AP-DNA-1
0	92	92	205	197	S	2926671	Pseudomonas sp. I3-I5	AP-DNA-1
0	84	84	243	184	S	2726956	Pseudomonas sp. MSPm1	AP-DNA-1
0	83	83	201	162	S	2054914	Pseudomonas sp. 02C 26	AP-DNA-1
0	82	82	270	163	S	1207075	Pseudomonas sp. UW4	AP-DNA-1
0	75	75	200	176	S	1636610	Pseudomonas sp. PONIH3	AP-DNA-1
0	72	72	209	168	S	2920387	Pseudomonas sp. LS.1a	AP-DNA-1
0	68	68	270	181	S	2829498	Pseudomonas sp. JS425	AP-DNA-1
0	66	66	148	111	S	2866626	Pseudomonas sp. 2hn	AP-DNA-1
0	64	64	173	81	S	2762896	Pseudomonas sp. MPDS	AP-DNA-1
0	59	59	242	208	S	2578110	Pseudomonas sp. KBS0707	AP-DNA-1
0	59	59	271	188	S	2892442	Pseudomonas sp. CIP-10	AP-DNA-1
0	59	59	186	141	S	2864101	Pseudomonas sp. So3.2b	AP-DNA-1
0	58	58	136	56	S	2793103	Pseudomonas sp. IAC-BECa141	AP-DNA-1
0	58	58	143	79	S	2895471	Pseudomonas sp. B21-010	AP-DNA-1
0	58	58	142	113	S	2749999	Pseudomonas sp. RtIB026	AP-DNA-1
0	57	57	269	94	S	2895484	Pseudomonas sp. B21-035	AP-DNA-1
0	57	57	162	135	S	1898684	Pseudomonas sp. LPH1	AP-DNA-1
0	56	56	122	49	S	2895496	Pseudomonas sp. B21-059	AP-DNA-1
0	54	54	119	87	S	2126069	Pseudomonas sp. LBUM920	AP-DNA-1
0	53	53	131	97	S	2886361	Pseudomonas sp. HN8-3	AP-DNA-1
0	51	51	168	106	S	2895489	Pseudomonas sp. B21-047	AP-DNA-1
0	50	50	117	81	S	2841064	Pseudomonas sp. SK3(2021)	AP-DNA-1
0	50	50	143	100	S	2083054	Pseudomonas sp. LG1D9	AP-DNA-1
0	50	50	218	181	S	2614442	Pseudomonas sp. LPB0260	AP-DNA-1
0	49	49	121	92	S	2083053	Pseudomonas sp. SWI44	AP-DNA-1
0	47	47	144	113	S	1649877	Pseudomonas sp. CCOS 191	AP-DNA-1
0	46	46	141	74	S	2799184	Pseudomonas sp. Eqa60	AP-DNA-1
0	46	46	147	134	S	2678261	Pseudomonas sp. Pc102	AP-DNA-1
0	45	45	96	59	S	2738843	Pseudomonas sp. B14-6	AP-DNA-1
0	44	44	118	93	S	2777367	Pseudomonas sp. OST1909	AP-DNA-1
0	43	43	129	101	S	1259844	Pseudomonas sp. FGI182	AP-DNA-1
0	42	42	145	109	S	2866386	Pseudomonas sp. ERGC3:05	AP-DNA-1
0	42	42	88	48	S	2862945	Pseudomonas sp. ArH3a	AP-DNA-1
0	41	41	88	52	S	1173283	Pseudomonas sp. R3-18-08	AP-DNA-1
0	40	40	86	53	S	658632	Pseudomonas sp. R11-23-07	AP-DNA-1
0	40	40	103	77	S	2774873	Pseudomonas sp. ADPe	AP-DNA-1
0	39	39	71	32	S	676210	Pseudomonas sp. ATCC 43928	AP-DNA-1
0	39	39	70	58	S	2604941	Pseudomonas sp. C27(2019)	AP-DNA-1
0	39	39	79	47	S	2678258	Pseudomonas sp. Cab53	AP-DNA-1
0	37	37	199	156	S	1338689	Pseudomonas sp. JY-Q	AP-DNA-1
0	37	37	97	81	S	2749807	Pseudomonas sp. Y39-6	AP-DNA-1
0	36	36	148	75	S	69328	Pseudomonas sp. VLB120	AP-DNA-1
0	34	34	93	77	S	2083052	Pseudomonas sp. SWI36	AP-DNA-1
0	33	33	115	63	S	1495331	Pseudomonas sp. WCS374	AP-DNA-1
0	33	33	63	40	S	658643	Pseudomonas sp. R4-35-07	AP-DNA-1
0	32	32	86	69	S	2654238	Pseudomonas sp. DTU12.1	AP-DNA-1
0	29	29	79	68	S	2834406	Pseudomonas sp. RC3H12	AP-DNA-1
0	28	28	110	79	S	2729423	Pseudomonas sp. SK	AP-DNA-1
0	28	28	79	44	S	645292	Pseudomonas sp. T8	AP-DNA-1
0	27	27	61	34	S	2933816	Pseudomonas sp. BC42	AP-DNA-1
0	27	27	69	38	S	2895472	Pseudomonas sp. B21-012	AP-DNA-1
0	25	25	73	40	S	2861799	Pseudomonas sp. Colony2	AP-DNA-1
0	24	24	49	19	S	1855331	Pseudomonas sp. A214	AP-DNA-1
0	23	23	41	24	S	1173270	Pseudomonas sp. R1-43-08	AP-DNA-1
0	23	23	59	33	S	2870840	Pseudomonas sp. DR208	AP-DNA-1
0	22	22	57	28	S	2895474	Pseudomonas sp. B21-017	AP-DNA-1
0	22	22	58	45	S	107445	Pseudomonas sp. A2	AP-DNA-1
0	22	22	61	35	S	2054915	Pseudomonas sp. 09C 129	AP-DNA-1
0	21	21	28	15	S	1173280	Pseudomonas sp. R2-60-08W	AP-DNA-1
0	21	21	47	33	S	1415630	Pseudomonas sp. TKP	AP-DNA-1
0	21	21	64	59	S	95619	Pseudomonas sp. M1	AP-DNA-1
0	20	20	47	30	S	1173284	Pseudomonas sp. R3-52-08	AP-DNA-1
0	20	20	45	28	S	1173288	Pseudomonas sp. R4-39-08	AP-DNA-1
0	19	19	74	72	S	2866282	Pseudomonas sp. PS1(2021)	AP-DNA-1
0	19	19	31	17	S	658641	Pseudomonas sp. R2-7-07	AP-DNA-1
0	19	19	57	30	S	147212	Pseudomonas sp. SW-3	AP-DNA-1
0	19	19	68	58	S	2895482	Pseudomonas sp. B21-031	AP-DNA-1
0	19	19	34	20	S	1659194	Pseudomonas sp. GR 6-02	AP-DNA-1
0	18	18	54	46	S	2795724	Pseudomonas sp. MPFS	AP-DNA-1
0	18	18	59	45	S	1500687	Pseudomonas sp. St29	AP-DNA-1
0	18	18	57	40	S	1500686	Pseudomonas sp. Os17	AP-DNA-1
0	18	18	75	72	S	2856556	Pseudomonas sp. HD6515	AP-DNA-1
0	17	17	70	50	S	2895488	Pseudomonas sp. B21-044	AP-DNA-1
0	16	16	48	36	S	2895483	Pseudomonas sp. B21-032	AP-DNA-1
0	15	15	28	19	S	1702250	Pseudomonas sp. IB20	AP-DNA-1
0	15	15	75	67	S	2067572	Pseudomonas sp. NC02	AP-DNA-1
0	15	15	51	34	S	2083055	Pseudomonas sp. LH1G9	AP-DNA-1
0	14	14	46	37	S	658642	Pseudomonas sp. R4-34-07	AP-DNA-1
0	14	14	52	48	S	2479393	Pseudomonas sp. LTGT-11-2Z	AP-DNA-1
0	14	14	56	23	S	2861775	Pseudomonas sp. YeP6b	AP-DNA-1
0	12	12	44	41	S	2886360	Pseudomonas sp. HN2-3	AP-DNA-1
0	12	12	28	27	S	2821559	Pseudomonas sp. IsoF	AP-DNA-1
0	11	11	38	31	S	2895477	Pseudomonas sp. B21-023	AP-DNA-1
0	10	10	29	21	S	2609418	Pseudomonas sp. KUIN-1	AP-DNA-1
0	9	9	38	29	S	2069256	Pseudomonas sp. XWY-1	AP-DNA-1
0	8	8	14	10	S	1761895	Pseudomonas sp. bs2935	AP-DNA-1
0	7	7	25	24	S	2813842	Pseudomonas sp. SORT22	AP-DNA-1
0	7	7	36	33	S	76885	Pseudomonas sp. K-62	AP-DNA-1
0	6	6	28	22	S	1173273	Pseudomonas sp. R2-37-08W	AP-DNA-1
0	5	5	32	32	S	2662034	Pseudomonas sp. 13159349	AP-DNA-1
0	5	5	6	1	S	2759706	Pseudomonas sp. 29A	AP-DNA-1
0	5	5	17	14	S	1573704	Pseudomonas sp. R32	AP-DNA-1
0	5	5	15	13	S	1602166	Pseudomonas sp. St290	AP-DNA-1
0	4	4	17	15	S	2083051	Pseudomonas sp. SWI6	AP-DNA-1
0	3	3	7	7	S	2724470	Pseudomonas sp. BIGb0427	AP-DNA-1
0	3	3	8	5	S	2944392	Pseudomonas sp. BYT-5	AP-DNA-1
0	2	2	6	6	S	341029	Pseudomonas sp. CT14	AP-DNA-1
0	2	2	6	6	S	2944252	Pseudomonas sp. B111	AP-DNA-1
0	2	2	6	6	S	2545800	Pseudomonas sp. FDAARGOS_761	AP-DNA-1
0	1	1	1	1	S	1523522	Pseudomonas sp. ZM1	AP-DNA-1
0	1	1	2	2	S	115714	Pseudomonas sp. S-47	AP-DNA-1
0	1	1	1	1	S	2730846	Pseudomonas sp. ADAK7	AP-DNA-1
0	1	1	1	1	S	2730849	Pseudomonas sp. ADAK20	AP-DNA-1
0.17	48187	1382	224252	159031	G1	136845	Pseudomonas putida group	AP-DNA-1
0.14	38832	37172	181929	123415	S	303	Pseudomonas putida	AP-DNA-1
0	761	761	1583	1204	S1	1384061	Pseudomonas putida S13.1.2	AP-DNA-1
0	435	435	2845	2382	S1	1331671	Pseudomonas putida H8234	AP-DNA-1
0	171	171	453	309	S1	1196325	Pseudomonas putida DOT-T1E	AP-DNA-1
0	76	76	248	119	S1	1215088	Pseudomonas putida HB3267	AP-DNA-1
0	58	58	245	182	S1	1081940	Pseudomonas putida B6-2	AP-DNA-1
0	45	45	163	147	S1	1042876	Pseudomonas putida S16	AP-DNA-1
0	30	30	81	66	S1	1215087	Pseudomonas putida S12	AP-DNA-1
0	22	22	131	80	S1	76869	Pseudomonas putida GB-1	AP-DNA-1
0	21	21	94	78	S1	1193499	Pseudomonas putida SJTE-1	AP-DNA-1
0	17	17	30	28	S1	231023	Pseudomonas putida ND6	AP-DNA-1
0	12	12	19	13	S1	1211579	Pseudomonas putida NBRC 14164	AP-DNA-1
0	8	8	14	14	S1	1150601	Pseudomonas putida JB	AP-DNA-1
0	4	4	13	13	S1	931281	Pseudomonas putida BIRD-1	AP-DNA-1
0.02	6383	6383	27602	25805	S	47885	Pseudomonas oryzihabitans	AP-DNA-1
0	711	395	2573	2397	S	47880	Pseudomonas fulva	AP-DNA-1
0	316	316	1096	1008	S1	743720	Pseudomonas fulva 12-X	AP-DNA-1
0	309	307	954	751	S	76759	Pseudomonas monteilii	AP-DNA-1
0	2	2	6	5	S1	1435044	Pseudomonas monteilii SB3078	AP-DNA-1
0	204	204	571	449	S	70775	Pseudomonas plecoglossicida	AP-DNA-1
0	139	139	329	211	S	1785161	Pseudomonas wadenswilerensis	AP-DNA-1
0	105	105	374	232	S	78327	Pseudomonas mosselii	AP-DNA-1
0	91	91	262	229	S	2217867	Pseudomonas sp. SGAir0191	AP-DNA-1
0	31	31	92	74	S	1940636	Pseudomonas shirazica	AP-DNA-1
0.09	25050	1344	74415	46882	G1	136843	Pseudomonas fluorescens group	AP-DNA-1
0.05	13171	9500	34506	18111	S	294	Pseudomonas fluorescens	AP-DNA-1
0.01	1549	1549	3175	2117	S1	1037911	Pseudomonas fluorescens A506	AP-DNA-1
0	733	733	1451	562	S1	743713	Pseudomonas fluorescens R124	AP-DNA-1
0	667	667	2123	1046	S1	1221522	Pseudomonas fluorescens NCIMB 11764	AP-DNA-1
0	285	285	769	593	S1	746360	Pseudomonas fluorescens WH6	AP-DNA-1
0	191	191	409	234	S1	1038922	Pseudomonas fluorescens Q2-87	AP-DNA-1
0	188	188	439	252	S1	205922	Pseudomonas fluorescens Pf0-1	AP-DNA-1
0	31	31	191	173	S1	216595	Pseudomonas fluorescens SBW25	AP-DNA-1
0	24	24	53	34	S1	463794	Pseudomonas fluorescens BBc6R8	AP-DNA-1
0	3	3	4	2	S1	1038923	Pseudomonas fluorescens Q8r1-96	AP-DNA-1
0.01	1642	1542	6449	4521	S	47883	Pseudomonas synxantha	AP-DNA-1
0	100	100	253	164	S1	96901	Pseudomonas synxantha BG33R	AP-DNA-1
0	1435	1435	6716	5648	S	76760	Pseudomonas rhodesiae	AP-DNA-1
0	975	920	2556	1950	S	380021	Pseudomonas protegens	AP-DNA-1
0	55	55	96	72	S1	1420599	Pseudomonas protegens Cab57	AP-DNA-1
0	780	780	1873	1179	S	76758	Pseudomonas orientalis	AP-DNA-1
0	770	770	2285	1769	S	47878	Pseudomonas azotoformans	AP-DNA-1
0	712	530	2401	1881	S	200451	Pseudomonas poae	AP-DNA-1
0	182	182	483	356	S1	1282356	Pseudomonas poae RE*1-1-14	AP-DNA-1
0	577	577	2131	1997	S	200452	Pseudomonas congelans	AP-DNA-1
0	531	531	1773	1186	S	76761	Pseudomonas veronii	AP-DNA-1
0	451	325	1846	965	S	75612	Pseudomonas mandelii	AP-DNA-1
0	126	126	644	440	S1	1147786	Pseudomonas mandelii JR-1	AP-DNA-1
0	444	444	1114	814	S	75588	Pseudomonas libanensis	AP-DNA-1
0	421	421	1032	621	S	29442	Pseudomonas tolaasii	AP-DNA-1
0	390	390	955	654	S	200450	Pseudomonas trivialis	AP-DNA-1
0	310	310	698	393	S	46679	Pseudomonas mucidolens	AP-DNA-1
0	237	237	645	436	S	129817	Pseudomonas brenneri	AP-DNA-1
0	220	220	617	281	S	183795	Pseudomonas mediterranea	AP-DNA-1
0	201	201	403	234	S	47879	Pseudomonas corrugata	AP-DNA-1
0	195	195	490	302	S	651740	Pseudomonas cedrina	AP-DNA-1
0	99	99	401	302	S	1114970	Pseudomonas ogarae	AP-DNA-1
0	87	87	310	211	S	78543	Pseudomonas migulae	AP-DNA-1
0	58	58	145	98	S	169669	Pseudomonas extremorientalis	AP-DNA-1
0.03	10032	194	32989	13076	G1	136842	Pseudomonas chlororaphis group	AP-DNA-1
0.02	5782	5782	22087	7774	S	296	Pseudomonas fragi	AP-DNA-1
0.01	2789	2789	6991	3206	S	86185	Pseudomonas lundensis	AP-DNA-1
0	1267	949	3378	1916	S	587753	Pseudomonas chlororaphis	AP-DNA-1
0	169	169	434	274	S1	86192	Pseudomonas chlororaphis subsp. aurantiaca	AP-DNA-1
0	53	25	140	88	S1	587851	Pseudomonas chlororaphis subsp. aureofaciens	AP-DNA-1
0	28	28	51	31	S2	1038921	Pseudomonas chlororaphis subsp. aureofaciens 30-84	AP-DNA-1
0	48	48	104	50	S1	333	Pseudomonas chlororaphis subsp. chlororaphis	AP-DNA-1
0	41	41	120	64	S1	1513890	Pseudomonas chlororaphis subsp. piscium	AP-DNA-1
0	7	7	19	13	S1	1037915	Pseudomonas chlororaphis O6	AP-DNA-1
0.03	8672	1289	42035	12542	G1	136849	Pseudomonas syringae group	AP-DNA-1
0.01	4234	94	28714	3489	G2	251698	Pseudomonas syringae group genomosp. 2	AP-DNA-1
0.01	4040	3969	28171	3176	S	47877	Pseudomonas amygdali	AP-DNA-1
0	30	23	109	89	S1	53707	Pseudomonas amygdali pv. lachrymans	AP-DNA-1
0	7	7	47	44	S2	629260	Pseudomonas amygdali pv. lachrymans str. M301315	AP-DNA-1
0	19	8	39	27	S1	322	Pseudomonas amygdali pv. tabaci	AP-DNA-1
0	11	11	19	13	S2	573066	Pseudomonas amygdali pv. tabaci str. ATCC 11528	AP-DNA-1
0	15	15	23	16	S1	251722	Pseudomonas amygdali pv. aesculi	AP-DNA-1
0	7	7	33	30	S1	1664860	Pseudomonas amygdali pv. loropetali	AP-DNA-1
0	69	35	173	139	S	29438	Pseudomonas savastanoi	AP-DNA-1
0	17	0	35	24	S1	319	Pseudomonas savastanoi pv. phaseolicola	AP-DNA-1
