sample	percent_gc	mean_seq_len	n_read_pairs	percent_duplicates	n_bases_approx	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	stage
AP-DNA-10	50	121.07060383005836	26770297	2.326761229178082	6300000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-11	48	117.68341884455666	19417724	1.4496970032424699	4500000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-12	47	116.45935629184004	16360675	1.311432016316715	3700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-13	49	116.81430514025143	16606639	1.1693675595367026	3700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-14	52.5	121.23170264023798	13541052	2.471258355455973	3100000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-15	64.5	123.66721615771964	5815078	22.339116209722746	1437400000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-16	64	124.14188636269553	7802561	29.111581000923422	1936200000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/warn	pass/pass	pass/pass	dedup
AP-DNA-3	49	112.96442596941466	39266453	1.5003283626087978	8700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-4	49	121.37635724165509	11468573	1.3779742995986126	2700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-5	48	119.74297242574352	16304737	1.3459813067759683	3800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-6	49	120.56379962957926	13588872	1.3854805346432641	3200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-7	48	120.54871694348061	12289482	1.5545471694641932	2900000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-8	49	120.58206796085854	11941609	1.3346507562077932	2800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-DNA-9	50	122.16820479748925	9168921	1.7258394334065486	2200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-RNA-1	40	124.38627221874509	13176543	13.844764895143406	3200000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
AP-RNA-10	43	124.08925644002227	6788020	21.08747275392625	1683400000	pass/pass	pass/pass	warn/warn	warn/pass	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-11	43	122.79656669475443	8097241	18.87386872756047	1978100000	pass/pass	pass/pass	warn/warn	fail/warn	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-12	41	125.08725979364482	10138054	14.106223570753805	2400000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	dedup
AP-RNA-13	42	124.14423496119485	8792005	16.943609408942727	2100000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-14	43	125.19991492299249	3708405	20.840569433483843	927900000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-15	45	122.03939804947362	123864	18.982186870124437	30100000	pass/pass	pass/pass	fail/pass	fail/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-16	44	119.99167762140428	103456	12.153959171048555	24800000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
AP-RNA-2	41	124.16974422833556	16884904	12.058678217411433	4100000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
AP-RNA-3	41	122.13251174134174	9356469	10.78301745544536	2200000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	dedup
AP-RNA-4	44	123.79753962358318	14378369	24.65993409650619	3500000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-5	44	123.94956591419238	9735172	24.026336728673662	2300000000	pass/pass	pass/pass	warn/fail	fail/pass	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-6	43	123.75680305246439	7800910	21.52582448744168	1929400000	pass/pass	pass/pass	warn/fail	warn/pass	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-7	43	124.22522955945978	7244855	19.378391875689502	1798500000	pass/pass	pass/pass	warn/fail	warn/pass	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-8	43	124.45923714452292	6725363	20.99354032537706	1672700000	pass/pass	pass/pass	warn/fail	fail/pass	pass/pass	warn/warn	pass/pass	warn/warn	pass/pass	dedup
AP-RNA-9	45	123.7872784278962	5504980	36.00550186087861	1361900000	pass/pass	pass/pass	warn/fail	fail/warn	pass/pass	warn/warn	warn/warn	warn/warn	pass/pass	dedup
AP-DNA-1	48	116.18144200494409	66361312	1.5991561294186454	15300000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-10	50	121.0685066763894	26716761	2.3186920781148004	6300000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-11	48	117.6826825524904	19379207	1.4929448749256196	4500000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-12	47	116.46056131171807	16332351	1.3000510534971	3700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-13	49	116.81545080337388	16578769	1.1612979503833714	3700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-14	52.5	121.22793391616068	13508174	2.4454740771762147	3100000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-15	64.5	123.66179086607433	5803047	22.286836192317317	1434400000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-16	64	124.13561919861269	7787146	29.101759634705893	1932300000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/warn	pass/pass	pass/pass	ribo_initial
AP-DNA-3	49	112.96494108045206	39208125	1.49723103867575	8700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-4	49	121.37660323832739	11447144	1.370658182040529	2700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-5	48	119.74217240672351	16271732	1.3376658595063873	3800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-6	49	120.56375706564228	13561046	1.3802807711530534	3200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-7	48	120.5486122565826	12264479	1.5467703073234063	2800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-8	49	120.58204444853888	11918637	1.3273808623671854	2800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-9	50	122.16682996080394	9150155	1.7159497287827605	2200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-1	38	123.92116541129516	10562743	7.6269397057995505	2500000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-10	40	122.8704157645583	4601258	9.139214351086089	1129800000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-11	39	121.65220049612654	5573175	8.242506876925667	1354900000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-12	38	124.61073993958784	8000045	7.215754283675999	1981100000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-13	39	123.32911254432372	6523030	7.908862049087887	1607600000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-14	39.5	124.13512452668769	2524760	9.765170888109566	626300000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-15	43	119.89543196869356	93016	7.308420056764419	22200000	pass/pass	pass/pass	warn/warn	warn/pass	pass/pass	warn/warn	pass/pass	warn/pass	pass/pass	ribo_initial
AP-RNA-16	43	118.85235500017103	87707	7.589474044261003	20800000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-2	38	123.74443594064721	13697149	6.6736092521936285	3300000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-3	38	121.56302153717996	7706905	5.072122782918626	1872300000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-4	39.5	122.48136652747866	9062562	10.201154718495232	2100000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-5	39.5	122.73679363507915	6159511	9.562385637666978	1510800000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-6	39	122.62897985395361	5246141	9.277929289234407	1285600000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-7	39	123.25230486345862	4981640	8.066446413864746	1226900000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-8	39	123.39042701992463	4576297	9.093230301469092	1128400000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-RNA-9	41	121.98048641965677	3384156	16.46274965929318	824800000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_initial
AP-DNA-1	48	116.21385273180876	66282623	1.5906190421905535	15300000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-10	50	121.09038087366119	26686592	2.3159407788590016	6300000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-11	48	117.71951237473829	19350187	1.4895923481651607	4500000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-12	47	116.50426744023616	16307434	1.2873576606800086	3700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-13	49	116.84878874853263	16557627	1.1545433124165356	3700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-14	52.5	121.25015080446343	13490980	2.4447874677074353	3100000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-15	64.5	123.6686920778285	5798082	22.274698848016314	1433300000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-16	64	124.14131031432794	7780759	29.105816656748644	1930800000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/warn	pass/pass	pass/pass	ribo_secondary
AP-DNA-3	49	112.99771381230187	39161264	1.4896468541495338	8700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-4	49	121.40298766841832	11433732	1.3660067087669603	2700000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-5	48	119.76943037030694	16252032	1.3329490377426865	3800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-6	49	120.5913701564385	13544811	1.3773925223507817	3200000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-7	48	120.58055217427264	12247981	1.5337765959104672	2800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-8	49	120.60844773827642	11905080	1.3161603079909696	2800000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-DNA-9	50	122.18989284216096	9139602	1.7128050021156653	2100000000	pass/pass	pass/pass	warn/warn	fail/fail	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-1	36.5	124.68056676238464	9648135	5.881416620106904	2300000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-10	38	124.14531999418254	3836726	5.921983104278382	951700000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-11	37	123.07244114989058	4639711	5.479376487522423	1141000000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-12	37	125.41212163856287	7297883	5.749261113905071	1828900000	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
AP-RNA-13	37	124.33556609721208	5719742	5.599529212106134	1421100000	pass/pass	pass/pass	warn/warn	warn/warn	pass/pass	warn/warn	pass/pass	pass/pass	pass/pass	ribo_secondary
