experiment_accession	run_accession	description
SRX5103446	SRR8288598	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5103444	SRR8288600	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103443	SRR8288601	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5103442	SRR8288602	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_3,160 Shigella flexneri_3,160 Staphylococcus aureus_3,160 Plasmodium falciparum_3,160 Clostridium sporogenes_3,160 Cryptosporidium parvum_3,160 Staphylococcus epidermidis_3,160 Aspergillus fumigatus_3,160 Human mastadenovirus B_3,160 Escherichia coli_3,160 Bordetella pertussis_3,160 Salmonella enterica_3,160 Leishmania major_3,160 Pseudomonas aeruginosa_3,160
SRX5103440	SRR8288604	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: Escherichia coli
SRX5103438	SRR8288606	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103436	SRR8288607	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103431	SRR8288613	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103430	SRR8288614	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103429	SRR8288615	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103424	SRR8288620	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103422	SRR8288622	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103420	SRR8288624	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103414	SRR8288629	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103412	SRR8288631	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103411	SRR8288632	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000
SRX5103409	SRR8288635	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103406	SRR8288638	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103405	SRR8288639	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103404	SRR8288640	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103402	SRR8288642	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000 Plasmodium falciparum_10,000 Clostridium sporogenes_10,000 Cryptosporidium parvum_10,000 Staphylococcus epidermidis_10,000 Aspergillus fumigatus_10,000 Human mastadenovirus B_10,000 Escherichia coli_10,000 Bordetella pertussis_10,000 Salmonella enterica_10,000 Leishmania major_10,000 Pseudomonas aeruginosa_10,000
SRX5103399	SRR8288645	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103397	SRR8288647	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10,000 Shigella flexneri_10,000 Staphylococcus aureus_10,000
SRX5103395	SRR8288649	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103393	SRR8288651	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103392	SRR8288652	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100,000 Shigella flexneri_100,000 Staphylococcus aureus_100,000
SRX5103391	SRR8288653	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100,000 Shigella flexneri_100,000 Staphylococcus aureus_100,000
SRX5103389	SRR8288655	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100,000 Shigella flexneri_100,000 Staphylococcus aureus_100,000
SRX5103385	SRR8288659	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_31,600 Shigella flexneri_31,600 Staphylococcus aureus_31,600
SRX5103382	SRR8288662	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103379	SRR8288665	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus epidermidis_3000 Staphylococcus aureus_1000
SRX5103375	SRR8288669	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103369	SRR8288674	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Plasmodium falciparum_1000 Clostridium sporogenes_1000 Cryptosporidium parvum_1000 Staphylococcus aureus_1000 Staphylococcus epidermidis_1000 Aspergillus fumigatus_1000 Escherichia coli_1000 Shigella flexneri_1000 Bordetella pertussis_1000 Salmonella enterica_1000 Leishmania major_1000 Human mastadenovirus B_1000 Mycobacterium tuberculosis_1000 Pseudomonas aeruginosa_1000
SRX5103365	SRR8288679	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103363	SRR8288681	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103359	SRR8288685	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103352	SRR8288692	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103351	SRR8288693	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103350	SRR8288694	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103345	SRR8288699	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103344	SRR8288700	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103340	SRR8288704	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103336	SRR8288708	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103331	SRR8288713	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103329	SRR8288715	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103328	SRR8288716	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103322	SRR8288722	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103320	SRR8288724	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103318	SRR8288726	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103317	SRR8288727	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103307	SRR8288737	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103306	SRR8288738	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103305	SRR8288739	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103303	SRR8288741	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103302	SRR8288742	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103297	SRR8288747	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_100 Shigella flexneri_100 Staphylococcus aureus_100 Plasmodium falciparum_100 Clostridium sporogenes_100 Cryptosporidium parvum_100 Staphylococcus epidermidis_100 Aspergillus fumigatus_100 Human mastadenovirus B_100 Escherichia coli_100 Bordetella pertussis_100 Salmonella enterica_100 Leishmania major_100 Pseudomonas aeruginosa_100
SRX5103292	SRR8288752	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103289	SRR8288755	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103287	SRR8288757	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103286	SRR8288758	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103282	SRR8288762	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103279	SRR8288765	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103277	SRR8288767	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103275	SRR8288769	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103272	SRR8288772	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103271	SRR8288773	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103270	SRR8288774	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103268	SRR8288775	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_32 Shigella flexneri_32 Staphylococcus aureus_32 Plasmodium falciparum_32 Clostridium sporogenes_32 Cryptosporidium parvum_32 Staphylococcus epidermidis_32 Aspergillus fumigatus_32 Human mastadenovirus B_32 Escherichia coli_32 Bordetella pertussis_32 Salmonella enterica_32 Leishmania major_32 Pseudomonas aeruginosa_32
SRX5103266	SRR8288778	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103262	SRR8288782	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_10 Shigella flexneri_10 Staphylococcus aureus_10 Plasmodium falciparum_10 Clostridium sporogenes_10 Cryptosporidium parvum_10 Staphylococcus epidermidis_10 Aspergillus fumigatus_10 Human mastadenovirus B_10 Escherichia coli_10 Bordetella pertussis_10 Salmonella enterica_10 Leishmania major_10 Pseudomonas aeruginosa_10
SRX5103261	SRR8288783	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103259	SRR8288785	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103258	SRR8288786	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103252	SRR8288792	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103251	SRR8288793	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103241	SRR8288803	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
SRX5103237	SRR8288807	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103232	SRR8288812	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103226	SRR8288813	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus epidermidis_1000 Staphylococcus aureus_1000
SRX5103231	SRR8288814	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103229	SRR8288816	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103223	SRR8288821	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103220	SRR8288824	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Mycobacterium tuberculosis complex_316 Shigella flexneri_316 Staphylococcus aureus_316 Plasmodium falciparum_316 Clostridium sporogenes_316 Cryptosporidium parvum_316 Staphylococcus epidermidis_316 Aspergillus fumigatus_316 Human mastadenovirus B_316 Escherichia coli_316 Bordetella pertussis_316 Salmonella enterica_316 Leishmania major_316 Pseudomonas aeruginosa_316
SRX5103214	SRR8288830	NextSeq 500 sequencing: DNA sequencing of human plasma spiked with sheared pathogen DNA. 'organism1_conc1 organism2_conc2 ...' with conc in molecules per microliter: Staphylococcus epidermidis_10000 Staphylococcus aureus_0
SRX5103213	SRR8288831	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103212	SRR8288832	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103210	SRR8288834	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: SEP-SEQ Study Subject
SRX5103203	SRR8288841	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: Escherichia coli
SRX5103201	SRR8288843	NextSeq 500 sequencing: DNA sequencing of clinical human plasma with previously observed taxa: nan
SRX5103198	SRR8288846	NextSeq 500 sequencing: DNA Sequencing of Human Plasma: Asymptomatic Subject
